(PDH-CSV 4.0) (UTC)(0),\\proma-2n-dhcp60.eng.vmware.com\Physical Cpu(0)\% Processor Time,\\proma-2n-dhcp60.eng.vmware.com\Physical Cpu(1)\% Processor Time,\\proma-2n-dhcp60.eng.vmware.com\Physical Cpu(0)\% Util Time,\\proma-2n-dhcp60.eng.vmware.com\Physical Cpu(1)\% Util Time,\\proma-2n-dhcp60.eng.vmware.com\Memory\Kernel MBytes,\\proma-2n-dhcp60.eng.vmware.com\Memory\NonKernel MBytes,\\proma-2n-dhcp60.eng.vmware.com\Memory\Kernel State,\\proma-2n-dhcp60.eng.vmware.com\Memory\PShare Shared MBytes,\\proma-2n-dhcp60.eng.vmware.com\Memory\Swap Target MBytes,\\proma-2n-dhcp60.eng.vmware.com\Memory\Swap MBytes Read/sec,\\proma-2n-dhcp60.eng.vmware.com\Memory\Swap MBytes Write/sec
3/26/2015 23:05,55.26,15.12,55.87,15.38,1089,1746,0,118,0,0,0
3/26/2015 23:05,13.32,10.79,12.96,10.97,1087,1743,0,118,0,0,0
3/26/2015 23:05,32.62,26.58,32.8,26.71,1086,1743,0,118,0,0,0
3/26/2015 23:05,7.36,58.58,7.61,58.7,1087,1743,0,118,0,0,0
3/26/2015 23:05,20.18,25.88,20.28,26.96,1087,1743,0,118,0,0,0
3/26/2015 23:05,12.29,29.76,12.42,29.38,1087,1743,0,118,0,0,0
3/26/2015 23:05,11.2,54.17,11.36,54.26,1087,1743,0,118,0,0,0
3/26/2015 23:05,38.9,20.97,39.08,21.17,1087,1743,0,118,0,0,0
3/26/2015 23:05,12.69,11.87,12.86,12.04,1087,1743,0,118,0,0,0
3/26/2015 23:06,50.65,14,50.75,14.33,1087,1743,0,118,0,0,0
3/26/2015 23:06,44.85,24.05,44.91,24.24,1086,1743,0,118,0,0,0
3/26/2015 23:06,27.43,13.28,27.88,13.66,1089,1745,0,118,0,0,0
3/26/2015 23:06,32.59,18.68,32.52,18.73,1087,1743,0,118,0,0,0
3/26/2015 23:06,41.83,26.13,41.95,26.41,1086,1743,0,118,0,0,0
3/26/2015 23:06,17.52,29.73,17.71,30.11,1087,1743,0,117,0,0,0
3/26/2015 23:06,12.21,22.34,12.46,21.85,1087,1743,0,117,0,0,0
3/26/2015 23:06,46.85,23.18,47.11,23.45,1087,1743,0,117,0,0,0
3/26/2015 23:06,11.39,49.28,11.73,50.22,1086,1743,0,117,0,0,0
3/26/2015 23:06,19.08,7.92,19.31,7.26,1087,1744,0,117,0,0,0
3/26/2015 23:06,45.98,13.25,46.07,13.37,1086,1743,0,117,0,0,0
3/26/2015 23:07,36.86,29.04,37.05,29.02,1087,1743,0,117,0,0,0
3/26/2015 23:07,10.53,16.36,10.7,17.16,1087,1743,0,117,0,0,0
3/26/2015 23:07,46.56,17.23,46.66,16.74,1089,1747,0,118,0,0,0
3/26/2015 23:07,19.18,54.73,19.45,54.87,1087,1743,0,117,0,0,0
3/26/2015 23:07,23.79,4.57,23.95,4.73,1087,1743,0,117,0,0,0
3/26/2015 23:07,13.91,42.21,14.16,42.3,1087,1743,0,117,0,0,0
3/26/2015 23:07,35.5,31.04,35.65,31.11,1087,1743,0,117,0,0,0
3/26/2015 23:07,26.75,20.58,26.8,21.53,1087,1743,0,117,0,0,0
3/26/2015 23:07,16.06,24.43,16.33,23.78,1087,1743,0,117,0,0,0
3/26/2015 23:07,31.41,32.86,31.37,33.03,1087,1743,0,117,0,0,0
